ID_participant_long,transcript_coder1_coder2_coder3,transcript_wav2vec_base,transcript_wav2vec_large,transcript_google,transcript_whisper,transcript_whisper_medium,transcript_nvidia_xxlarge
president_5a50fab2f6c517000194760b,"Joe Biden was elected to bring some stability to the country and succeeded in doing that. I think he is doing an adequate job, he has brought in some good things but as perhaps reached a little too far in some of his ambitions.",Providon was Electic Inrecensibility to a to the country and succeeded in doing that I think he is doing an adequate job he thought it some good things but Ah has perhaps reached a little too far in some of his ambitions,Obyden was elected in recent stability to a to the country and succeeded in doing that I think he is doing an adequate job he's brought in some good things but Ah has perhaps reached a little too far in some of his ambitions,Joe Biden was elected to the country and succeeded in doing that I think she is doing an adequate job he's got in some good things got a little too far and some of his ambitions,"Joe Biden was elected to bring some stability to the country and succeeded in doing that. I think he is doing an adequate job. He's brought in some good things, but has perhaps reached a little too far in some of his ambitions.","Biden was elected to increase his stability to the country and succeeded in doing that. I think he is doing an adequate job. He's brought in some good things, but has perhaps reached a little too far in some of his ambitions. I think he's brought in some good things, but has perhaps reached a little too far in some of his ambitions. I think he's brought in some good things, but has perhaps reached a little too far in",biden was elected in recent stability to ah to the country and succeeded in doing that i think he is doing an adequate job he's brought in some good things but has perhaps reached a little too far in some of his ambitions
president_5ff5f7ad932d56101bf7c90d,He wasn't my first choice but he is certainly better than the alternative Republican candidate. I like most of his policies I think he's been able to get an amazing amount of done an amazing amount of stuff done with an extremely slim minority and I'm interested to see what happens the next couple years.,He wasn't my first choice but he's certainly better than the alternative Republican candidate Ah I like most of his policies I think he's been able to get an amazing amount of done an amazing amount of stuff done with a an extremely slim minority Ah and I'm interested to see what happens the next Coupliers,He wasn't my first choice but he's certainly better than the alternative Republican candidate I like most of his policies I think he's been able to get an amazing amount of done an amazing amount of stuff done with an extremely slim minority and I'm interested to see what happens the next couple of years,he wasn't my first choice but he's certainly better than the alternative Republican candidate I like most of his policies I think he's been able to get an amazing amount of done an amazing amount of stuff done with an extremely slim minority and I'm interested to see what happens the next couple years,"He wasn't my first choice, but he's certainly better than the alternative Republican candidate. I like most of his policies. I think he's been able to get an amazing amount of done, an amazing amount of stuff done with an extremely slim minority. And I'm interested to see what happens the next couple of years.","He wasn't my first choice, but he's certainly better than the alternative Republican candidate. I like most of his policies. I think he's been able to get an amazing amount of stuff done with an extremely slim minority, and I'm interested to see what happens the next couple years.",he wasn't my first choice but he's certainly better than the alternative republican candidate um i like most of his policies i think he's been able to get an amazing amount of done an amazing amount of stuff done with um an extremely slim minority um and i'm interested to see what happens the next couple of years
president_60e93525447d5e9ac6ebbd55,"I don´t really like him that much because i feel like he doesn´t always make the best decisions, and I also just feel like, sometimes he just doesn´t seem like he knows what he is doing.",Um I don't ROL Yo like him not much because I Fe like he doesn't always make the best decisions an I also just feel like sometimes he jest doesn't seem like he knows what he's doing,Oh I don't Welo like him not much because I feel like he doesn't always make the best decisions and I also just feel like sometimes he just doesn't seem like he knows what he's doing,I don't really like that much because I feel like he doesn't always make the best decisions and I also just feel like sometimes he just doesn't seem like he knows what you doing,"Um, I don't really like him that much because I feel like he doesn't always make the best decisions and I also just feel like sometimes he just doesn't seem like he knows what he's doing.","Um, I don't really like him that much because I feel like he doesn't always make the best decisions and I also just feel like sometimes he just doesn't seem like he knows what he's doing.",um i don't really like him that much because i feel like he doesn't always make the best decisions and i also just feel like sometimes he just doesn't seem like he knows what he's doing
president_60ef14df0e4b2fd0932b452f,"I don't think he was the best candidate, but I think he's doing a decent job.",I don't think he was the best candidate but I think he's doing a decent job,I don't think he was the best candidate but I think he's doing a decent job,I don't think he was the best candidate but I think he's doing a decent job,"I don't think he was the best candidate, but I think he's doing a decent job.","I don't think he was the best candidate, but I think he's doing a decent job.",i don't think he was the best candidate but i think he's doing a decent job
president_6151e479b4ee16668948c7f2,He's okay. A regular guy.,Es O K erect our Agu,Es O K Aright your GY,he's okay regular guy,"He's okay. All right, you're a guy.",He's okay. He's a regular guy.,he's okay a regular guy
president_629534afc0924e49e1464589,He's not the strongest president and there have been many disasters but I think he's doing just fine based on his credentials and abilities.,He's not the Stronget president and there have been Manusaucters but I think Heis doing just fine beast on his Credanshols and abilities,He's not the strongest president and there have been many disasters but I think he's doing just fine based on his credentials and abilities,he's not the strongest president and there have been many sisters but I think he's doing just fine based on his credentials and abilities,"He's not the strongest president and there have been many disasters, but I think he's doing just fine based on his credentials and abilities.","He's not the strongest president and there have been many disasters, but I think he's doing just fine based on his credentials and abilities.",he's not the strongest president and there have been many disasters but i think he's doing just fine based on his credentials and abilities
president_638427b0fd880d6b2a428a20,I think Joe Biden has done a great job as the president. I think he was facing a lot of adversity. When he came into office he's had a lot to have to deal with but I've been happy with the direction that he has led our country so far.,I think Jogiden has done a great job as the President I think he was facing a lot of adversity when he came into office he's had a lot too um have to deal with but I've been happy with the direction that he has led our country um so far,I think Joe Gaden has done a great job as the President I think he was facing a lot of adversity when he came into office he's had a lot to um have to deal with but I've been happy with the direction that he has led our country so far,I think Joe Biden has done a great job as the president I think he was facing a lot of adversity when he came into office he's had a lot to have to deal with but I've been happy with the direction that he has led our country so far,"I think Joe Biden has done a great job as the president. I think he was facing a lot of adversity when he came into office. He's had a lot to have to deal with, but I've been happy with the direction that he has led our country so far.","I think Joe Biden has done a great job as the president. I think he was facing a lot of adversity when he came into office. He's had a lot to have to deal with, but I've been happy with the direction that he has led our country so far.",i think joe biden has done a great job as the president i think he was facing a lot of adversity when he came into office he's had a lot to um have to deal with but i've been happy with the direction that he has led our country um so far
president_638827d8177891e7d70519f8,He is a very bad president and and he doesn't speak up on his ideas and he does not have good views.,He is a very bad present and he doesn't speak upon his ideas and he does not have good a view,He is a very bad president and he doesn't speak upon his ideas and he does not have good views,he is a very bad president and he doesn't speak up on his ideas and she does not have good view,He is a very bad president and he doesn't speak up on his ideas and he does not have good views.,He is a very bad president and he doesn't speak up on his ideas and he does not have good views.,speak up on his
president_638a66471585cb7583285740,Generally favorable just trying to do his best given the circumstances. There's a lot happening right now that he has to deal with but I do generally have respect for the guy.,Generally favorable just don s Tarn to do his best Givin the circumstances um there's a Ligt happening right now that ye ask a Dealeth but I dig Generaly AV respect for the gay,Generally favorable just done he's trying to do his best given the circumstances um here's a lot happening right now that he has to deal with but I did generally have respect for the guy,Charlie is a verbal just trying to do is best given the circumstances there's a lot happening right now that he has to deal with but I did Joe never expect the guy,"Generally favorable, just trying to do his best given the circumstances. There's a lot happening right now that he has to deal with, but I did generally have respect for the guy.","Generally favorable, just trying to do his best given the circumstances. There's a lot happening right now that he has to deal with, but I did generally have respect for the guy.",generally favorable just trying to do his best given the circumstances um there's a lot happening right now that he has to deal with but i generally have respect for the guy
president_639fdcf5efa9e98ed809d0df,I think he's doing a good enough job.,I think he's doin a good enough job,I think he's doin a good enough job,I think he's doing a good enough job,I think he's doing a good enough job.,I think he's doing a good enough job.,i think he's doing a good enough job
trust_most_people_586935b7e16d530001b34787,Most people are looking out for themselves because nobody else is gonna look out for them.,Most people are looking out for themselves because nobody else is goin look out for them,Most people are looking out for themselves because nobody else is going to look out for them,most people are looking out for themselves because nobody else is going to look out for them,Most people are looking out for themselves because nobody else is going to look out for them.,Most people are looking out for themselves because nobody else is going to look out for them.,most people are looking out for themselves because nobody else is going to look out for them
trust_most_people_59d6b8f103203500011ace12,I selected the answer 6 because I think that most people can be trusted. It's rare that I come across someone who cannot be trusted and I think most people are trying to do the right thing.,Am I selected the answer six because I think that most people can be trusted am it's rare that I come across some one who cannot be trusted and I think most people are trying to do the right thing,Am I selected the answer six because I think that most people can be trusted um it's rare that I come across someone who cannot be trusted and I think most people are trying to do the right thing,I selected the answer 6 because I think that most people can be trusted it's rare that I come across someone who cannot be trusted and I think most people are trying to do the right thing,I selected the answer six because I think that most people can be trusted. It's rare that I come across someone who cannot be trusted and I think most people are trying to do the right thing.,I selected the answer six because I think that most people can be trusted. It's rare that I come across someone who cannot be trusted and I think most people are trying to do the right thing. Let me show you the right thing.,um i selected answer six because i think that most people can be trusted um it's rare that i come across someone who can not be trusted and i think most people are trying to do the right thing
trust_most_people_5e14d563c4e155ae93907ae1,"Well, I believe that most people can be trusted but you don´t know which person you´re dealing with is the one that´s gonna screw you over or the one that´s gonna take advantage of you and people do what´s in their best interest generally. So, you should just be careful when dealing with anyone because you don´t know.",Well I believe that most people can be trusted but you don't know which person you're dealing with is is the one that's going to Scew you over or the one That'Sgoing to take advantage of you Ind people do what's in their best interest generally so Ah you should just be careful when dealing with any one because you don't know,Well I believe that most people can be trusted but you don't know which person you're dealing with is the one that's going to screw you over or the one that's going to take advantage of you and people do what's in their best interests generally so Ah you should just be careful when dealing with anyone because you don't know,well I believe that most people can be trusted but you don't know which person you're dealing with is is the one that's going to screw you over or the one that's going to take advantage of you in people do what's in their best interest generally so you should just be careful when dealing with anyone cuz you don't know,"Well, I believe that most people can be trusted, but you don't know which person you're dealing with is the one that's going to screw you over or the one that's going to take advantage of you. People do what's in their best interest generally. You should just be careful when dealing with anyone because you don't know.","Well, I believe that most people can be trusted but You don't know which person you're dealing with is is the one that's going to screw you over or the one that's going to take advantage of you and people do what's in their best interest generally, so You should just be careful when dealing with anyone because you don't know",well i believe that most people can be trusted but you don't know which person you're dealing with is the one that's going to screw you over or the one that's going to take advantage of you and people do what's in their best interests generally so ah you should just be careful when dealing with anyone because you don't know
trust_most_people_5f49457d8ac21f34cf443e62,This day and age there's a lot of sketchy people and a lot of bad things happening in the world and so I just like to stay vigilant and keep my eye out.,Stand aids there's a lot O Statchy Puple and lot of bad things happening in the world and so I just like to stay vigilant and keep my eye out,Stanades there's a lot of sketchy people and a lot of bad things happening in the world and so I just like to stay vigilant and keep my eye out,sketchy people on a lot of bad things happening in the world in so I just like to stay vigilant and keep my eye out,"Staying aged, there's a lot of sketchy people and a lot of bad things happening in the world. And so I just like to stay vigilant and keep my eye out.","Staying AIDS, there's a lot of sketchy people and a lot of bad things happening in the world. And so I just like to stay vigilant and keep my eye out.",this day and age there are a lot of sketchy people and a lot of bad things happening in the world and so i just like to stay vigilant and keep my eye out
trust_most_people_601387b4aa37e127b0544497,From this one because like people that I know for instance like I can't trust them as far as I can throw them but let me meet somebody new somebody I've never even had any kind of experiences with and sometimes I can trust them more than I can trust the people that I know or that I even call family.,For Nissland be Tas I es people that I know for instance like I can't Tristle him as far as I can Toz the but let me meet somebody new somebody that I've never even had any kind of experiences with in sometimes I can trust them word than I can trust to pupils that I know where that I even call a family,Fon this one because like people that I know for instance like I can't trust them as far as I can indulge in but let me meet somebody knew somebody that I've never even had any kind of experiences with and sometimes I can trust them more than I can trust the Pupiles that I know ore that I even call a family,on this one because all right people that I know like I can't trust him as far as I can throw them but let me meet somebody you knew somebody that I've never even had any kind of experiences with it and sometimes I can trust them more than I can trust the people that I know where that I even call family,on this one because like people that I know for instance like I can't trust them as far as I can throw them but let me meet somebody new somebody that I've never even had any kind of experiences with and sometimes I can trust them more than I can trust the people that I know or that I even call family,on this one because like people that I know for instance like I can't trust them as far as I can throw them but let me meet somebody new somebody that I've never even had any kind of experiences with and sometimes I can trust them more than I can trust the people that I know or that I even call family,on this one because like people that i know for instance like i can't trust them as far as i can tell them but let me meet somebody new somebody that i never even had any kind of experiences with and sometimes i can trust them more than i can trust the people that i know or that i even call family
trust_most_people_607c7c66161a3ab3e550736e,"I like to believe that people can be trusted and I try to keep that type of open mind when I´m interacting with people. I´m a teacher and I try to view my students that way. However, I do think that for every trustworthy person there´s probably someone out there who can´t be trusted as well.",I like to believe that people can be trusted and I try to keep that type of open mind when I'm interacting with people I'm a teacher and I try to view my students that way um however I do think that for every trustworthy person there's probably some one out there who can't be trusted as well,I like to believe that people can be trusted and I try to keep that type of open mind when I'm inter acting with people I'm a teacher and I try to view my students that way however I do think that for every trustworthy person there's probably some one out there who can't be trusted as well,I like to believe that people can be trusted and I try to keep that type of open mind when I'm interacting with people I'm a teacher and I try to view my students that way however I do think that for every trustworthy person there's probably someone out there who can't be trusted as well,"I like to believe that people can be trusted and I try to keep that type of open mind when I'm interacting with people. I'm a teacher and I try to view my students that way. However, I do think that for every trustworthy person there's probably someone out there who can't be trusted as well.","I like to believe that people can be trusted and I try to keep that type of open mind when I'm interacting with people. I'm a teacher and I try to view my students that way. However, I do think that for every trustworthy person there's probably someone out there who can't be trusted as well.",i like to believe that people can be trusted and i try to keep that type of open mind when i'm interacting with people i'm a teacher and i try to view my students that way however i do think that for every trustworthy person there's probably someone out there who can't be trusted as well
trust_most_people_631388f8b5fd84bfaeee521f,There have been cases where I trusted people but they turned out to be not trustworthy.,There have been cases while I Truste people but they turned out to be not trustworthy,There have been cases where I trusted people but they turned out to be not trustworthy,there have been cases where I trusted people but they turned out to be not trustworthy,There have been cases where I trusted people but they turned out to be not trustworthy.,There have been cases where I trusted people but they turned out to be not trustworthy.,there have been cases where i trusted people but they turned out to be not trustworthy
trust_most_people_636159dccb8ebae6099ab520,In general it's important to not trust people right away. You can give them opportunities to prove that they can be trusted but right off the bat there are a lot of bad people out there so it's hard to hard to trust others,Again general it's important to not trust people right away Im you can give them opportunities to prove that they can be trusted but'm right off the bat they're a lot of bad people out there so it's hard to hard to trust others,In general it's important to not trust people right away a you can give them opportunities to prove that they can be trusted but I'm right off the bat there're a lot of bad people out there so it's hard hard to trust others,in general it's important to not trust people right away you can give them opportunities to prove that they can be trusted but I'm right off the bat there a lot of bad people out there so it's hard to hard to trust.,"In general, it's important to not trust people right away. You can give them opportunities to prove that they can be trusted, but right off the bat, there are a lot of bad people out there, so it's hard to trust others.","In general, it's important to not trust people right away. You can give them opportunities to prove that they can be trusted, but right off the bat, there are a lot of bad people out there. So it's hard to trust others.",in general it's important to not trust people right away um you can give them opportunities to prove that they can be trusted but um right off the bat there are a lot of bad people out there so it's hard to hard to trust others
trust_most_people_637e447c16e05f6828930612,"I basically think that most people are good and wanna do the right thing, but I also know in the right circumstances anybody can pretty much do anything. So my motto is in God I trust, all others pay cash",I'm basically think that most people are good and won't do the right thing but I also know in the right circumstances anybody can pretty much do anything so my motto is in God I trust all others pay cash,I basically think that most people are good and want to do the right thing but I also know in the right circumstances anybody can pretty much do anything so my motto is in God I trust all others pay cash,I'm basically think that most people are good and want to do the right thing but I also know in the right circumstances anybody can pretty much do anything so my motto is in God I trust all others pay cash,"I basically think that most people are good and want to do the right thing, but I also know in the right circumstances, anybody can pretty much do anything. So my motto is, in God I trust, all others pay cash.","I basically think that most people are good and want to do the right thing, but I also know in the right circumstances, anybody can pretty much do anything. So my motto is, and God I trust, all others pay cash.",i basically think most people are good and want to do the right thing but i also know in the right circumstances anybody can pretty much do anything so my motto is in god i trust all others pay cash
vote_choice_2_5b233660648d5b0001b7de87,"I think Joe Biden would do a better job than Donald Trump, so I voted for him.",I think job Ardon will do a better job than Domwil job and so I Botet him,I think Joe Badon will do a better job than Donall drop so I voted for him,I think Joe Biden will do a better job than Donald Trump so I thought again,I think Joe Biden will do a better job than Donald Trump. So I voted for him.,"I think Joe Biden would do a better job than Donald Trump, so I voted for him.",i think joe biden would do a better job than donald trump so i voted for him
vote_choice_2_5e27868c5cbbcc0b3599574b,"Biden was the best chance at beating Donald Trump, who is dangerous.",Bidon was the best chance of beating down E Trump who was dangerous,Byden was the best chance of beating Donald Trump who was dangerous,Biden was the best chance of beating Donald Trump who is dangerous,"Biden was the best chance at beating Donald Trump, who was dangerous.","Biden was the best chance at beating Donald Trump, who was dangerous.",biden was the best chance of beating donald trump who was dangerous
vote_choice_2_5eee262c7da4d228a43a4027,He was a unifying force for the that the country needed at a time where we're being separated by our beliefs and differences.,He was a Unachying Chorce for the at the country needed at a time Whe were being separated by our beliefs and differences,He was a unifying force for Theat the Countwe needed at a time where we were being separated by our beliefs and differences,you was a unifying force for the classic country needed at a time while we're being separated by our beliefs and references,It was a unifying force that the country needed at a time where we were being separated by our beliefs and differences.,It was a unifying force for the country needed at a time where we were being separated by our beliefs and differences.,he was a unifying force that the country needed at a time when we were being separated by our beliefs and differences
vote_choice_2_5fcfbee098277e12c671ee44,I thought he was best for the country. Thought he would do a good job,I thought he was best for the country thought he would do a good Jub,I thought he was lest for the country thought he would do a good job,I thought he was best for the country but he would do a good job,I thought he was best for the country. Thought he would do a good job.,I thought he was best for the country. But he would do a good job.,i thought he was best for the country but thought he had done a good job
vote_choice_2_5fde4292a4d8245990ada5bc,Donald Trump should've never been elected in the first place. He's an idiot and I didn't want him in office a day longer.,Danthomp should never been elected in the first place he is an idiot an Aden when I met office Atin longer,Dantomp should never been elected in the first place he's an idiot and Idon't Whent I'm in office any longer,Donald Trump should never been elected in the first place he's an idiot and I don't want him in office at a long,Donald Trump should never have been elected in the first place. He's an idiot. And I don't want him in office any longer.,Donald Trump should never have been elected in the first place. He's an idiot. I'm an agent when I'm in office sitting longer.,donald trump should never have been elected in the first place he's an idiot and i didn't want him in office any longer
vote_choice_2_5fe49a4ad8918ba1615e298d,I'm a Republican and I always fight for the Republicans.,I am a Republican and I always fight for the Republicans,I am a Republican and I always fight for the Republicans,I'm a Republican and I always fight for the Republicans,I'm a Republican and I always fight for the Republicans.,I'm a Republican and I always fight for the Republicans.,i'm a republican and i always vote for the republicans
vote_choice_2_5ff5f7ad932d56101bf7c90d,"I think I would exceed the active working memory of this phone and possibly of your servers if I were asked to list everything wrong with voting for Donald Trump, so I will just say that I voted for Joe Biden because I liked him and his policies infinitely better than the alternative.",I think I would exceed the active working memory of this phone and possibly of your Servers if I were asked to list everything wrong with voting for Dol Trump Cama so I will just say that I voted for Joe Biton because I liked him and his policies infinitely better than the alternative,I think I would exceed the active working memory of this phone and possibly of your Servers if I were asked to list everything wrong with voting for Donald Trump Conmer so I will just say that I voted for Joe Byden because I liked him and his policies infinitely better than the alternative,"I think I would exceed the active working memory of this phone and possibly of your servers if I were asked to list everything wrong with voting for Donald Trump, so I will just say that I voted for Joe Biden because I like him and his policies infinitely better than the alternative","I think I would exceed the active working memory of this phone and possibly of your servers if I were asked to list everything wrong with voting for Donald Trump, so I will just say that I voted for Joe Biden because I liked him and his policies infinitely better than the alternative.","I think I would exceed the active working memory of this phone and possibly of your servers if I were asked to list everything wrong with voting for Donald Trump, comma. So I will just say that I voted for Joe Biden because I liked him and his policies. I think it's infinitely better than the alternative.",i think i would exceed the active working memory of this phone and possibly of your servers if i were asked to list everything wrong with voting for donald trump so i will just say that i voted for joe biden because i liked him and his policies infinitely better than the alternative
vote_choice_2_628ecc32276d54517f4c004d,"I felt Joe was the better candidate, simply put.",Er Feltjo was the better candidate simply put,Iy felt Joe was the better candidate simply put,I felt Joe was the better candidate simply put,I felt Joe was the better candidate. Simply put.,I felt Joe was the better candidate. Simply put.,i felt joe was the better candidate simply put
vote_choice_2_62c7675f57c59d78336f7386,I voted for Joe Biden because I really I couldn't vote for Trump Donald he did 4 terrible years and made everything worse and we needed some kind of change and Republicans are not bringing that so Joe Biden was my only other option.,I voted for Joe Bydon because AIN RI et con VO for Trampdon he did for terrible years he made everything worse but head some kind of change in Republicans are not Buring in that Sal two miles more on the other Af,I voted for Joe Byden because Eallyi couldn't vote for Trompon he did for terrible years he made everything worse but Neded some kind of change and H Republicans are not bringing that so do mine was Morallhy other,a cordial Bridal because there's some kind of changed Republicans I'm not bringing that stuff tomorrow's weather,I voted for Joe Biden because I couldn't vote for Trump. He did four terrible years and made everything worse. We needed some kind of change and Republicans are not bringing that. So Joe Biden was my only other option.,I voted for Joe Biden because I couldn't vote for Trump. He did four terrible years and made everything worse. We needed some kind of change and Republicans are not bringing that. So Joe Biden was my only other option.,for joe biden because i couldn't vote for trump dawn he did four terrible years and made everything worse we needed some kind of change and republicans are not bringing that so
